Date,Democrats,Republicans,ElecYear,ElecDay,DaysTilED,DemVote,RepVote
10/7/1990,39,37,1990,11/6/1990,30,52.1,44.3
10/10/1990,39,36,1990,11/6/1990,27,52.1,44.3
10/14/1990,48,39,1990,11/6/1990,23,52.1,44.3
10/14/1990,49,42,1990,11/6/1990,23,52.1,44.3
10/31/1990,45,38,1990,11/6/1990,6,52.1,44.3
11/4/1990,50,42,1990,11/6/1990,2,52.1,44.3
10/4/1992,44,38,1992,11/3/1992,30,50.1,45.1
10/5/1992,50,39,1992,11/3/1992,29,50.1,45.1
10/23/1992,44,36,1992,11/3/1992,11,50.1,45.1
10/25/1992,47,37,1992,11/3/1992,9,50.1,45.1
10/26/1992,50,40,1992,11/3/1992,8,50.1,45.1
10/26/1992,48,37,1992,11/3/1992,8,50.1,45.1
10/28/1992,47,33,1992,11/3/1992,6,50.1,45.1
10/30/1992,45,37,1992,11/3/1992,4,50.1,45.1
10/30/1992,45,35,1992,11/3/1992,4,50.1,45.1
11/1/1992,51,34,1992,11/3/1992,2,50.1,45.1
11/1/1992,48,36,1992,11/3/1992,2,50.1,45.1
11/1/1992,46,36,1992,11/3/1992,2,50.1,45.1
10/9/1994,44,47,1994,11/8/1994,30,44.8,51.9
10/9/1994,46,48,1994,11/8/1994,30,44.8,51.9
10/9/1994,44,43,1994,11/8/1994,30,44.8,51.9
10/11/1994,38,37,1994,11/8/1994,28,44.8,51.9
10/12/1994,35,41,1994,11/8/1994,27,44.8,51.9
10/18/1994,42,38,1994,11/8/1994,21,44.8,51.9
10/19/1994,46,47,1994,11/8/1994,20,44.8,51.9
10/19/1994,40,45,1994,11/8/1994,20,44.8,51.9
10/23/1994,48,41,1994,11/8/1994,16,44.8,51.9
10/23/1994,35,39,1994,11/8/1994,16,44.8,51.9
10/23/1994,51,45,1994,11/8/1994,16,44.8,51.9
10/23/1994,40,44,1994,11/8/1994,16,44.8,51.9
10/24/1994,45,46,1994,11/8/1994,15,44.8,51.9
10/24/1994,39,40,1994,11/8/1994,15,44.8,51.9
10/25/1994,49,45,1994,11/8/1994,14,44.8,51.9
10/25/1994,45,41,1994,11/8/1994,14,44.8,51.9
10/26/1994,41,35,1994,11/8/1994,13,44.8,51.9
10/28/1994,44,46,1994,11/8/1994,11,44.8,51.9
10/30/1994,44,42,1994,11/8/1994,9,44.8,51.9
10/31/1994,47,45,1994,11/8/1994,8,44.8,51.9
10/31/1994,41,39,1994,11/8/1994,8,44.8,51.9
11/1/1994,41,46,1994,11/8/1994,7,44.8,51.9
11/1/1994,45,49,1994,11/8/1994,7,44.8,51.9
11/6/1994,42,38,1994,11/8/1994,2,44.8,51.9
11/6/1994,47,44,1994,11/8/1994,2,44.8,51.9
11/6/1994,47,42,1994,11/8/1994,2,44.8,51.9
11/6/1994,43,41,1994,11/8/1994,2,44.8,51.9
10/6/1996,46,39,1996,11/5/1996,30,48.2,48.2
10/6/1996,41,39,1996,11/5/1996,30,48.2,48.2
10/6/1996,50,42,1996,11/5/1996,30,48.2,48.2
10/7/1996,41,39,1996,11/5/1996,29,48.2,48.2
10/8/1996,51,41,1996,11/5/1996,28,48.2,48.2
10/8/1996,48,38,1996,11/5/1996,28,48.2,48.2
10/8/1996,42,40,1996,11/5/1996,28,48.2,48.2
10/9/1996,41,40,1996,11/5/1996,27,48.2,48.2
10/11/1996,48,36,1996,11/5/1996,25,48.2,48.2
10/11/1996,52,38,1996,11/5/1996,25,48.2,48.2
10/11/1996,53,38,1996,11/5/1996,25,48.2,48.2
10/11/1996,49,36,1996,11/5/1996,25,48.2,48.2
10/12/1996,53,40,1996,11/5/1996,24,48.2,48.2
10/12/1996,49,37,1996,11/5/1996,24,48.2,48.2
10/13/1996,47,38,1996,11/5/1996,23,48.2,48.2
10/13/1996,47,41,1996,11/5/1996,23,48.2,48.2
10/13/1996,41,39,1996,11/5/1996,23,48.2,48.2
10/13/1996,52,40,1996,11/5/1996,23,48.2,48.2
10/13/1996,52,41,1996,11/5/1996,23,48.2,48.2
10/14/1996,53,40,1996,11/5/1996,22,48.2,48.2
10/14/1996,47,37,1996,11/5/1996,22,48.2,48.2
10/14/1996,53,40,1996,11/5/1996,22,48.2,48.2
10/14/1996,42,39,1996,11/5/1996,22,48.2,48.2
10/15/1996,53,40,1996,11/5/1996,21,48.2,48.2
10/15/1996,42,39,1996,11/5/1996,21,48.2,48.2
10/16/1996,41,39,1996,11/5/1996,20,48.2,48.2
10/16/1996,53,40,1996,11/5/1996,20,48.2,48.2
10/17/1996,41,39,1996,11/5/1996,19,48.2,48.2
10/18/1996,50,44,1996,11/5/1996,18,48.2,48.2
10/18/1996,50,36,1996,11/5/1996,18,48.2,48.2
10/18/1996,46,32,1996,11/5/1996,18,48.2,48.2
10/19/1996,47,41,1996,11/5/1996,17,48.2,48.2
10/19/1996,50,43,1996,11/5/1996,17,48.2,48.2
10/19/1996,51,43,1996,11/5/1996,17,48.2,48.2
10/20/1996,48,38,1996,11/5/1996,16,48.2,48.2
10/20/1996,50,41,1996,11/5/1996,16,48.2,48.2
10/20/1996,40,38,1996,11/5/1996,16,48.2,48.2
10/20/1996,47,37,1996,11/5/1996,16,48.2,48.2
10/20/1996,49,42,1996,11/5/1996,16,48.2,48.2
10/20/1996,43,38,1996,11/5/1996,16,48.2,48.2
10/20/1996,53,41,1996,11/5/1996,16,48.2,48.2
10/21/1996,50,34,1996,11/5/1996,15,48.2,48.2
10/21/1996,55,37,1996,11/5/1996,15,48.2,48.2
10/21/1996,41,39,1996,11/5/1996,15,48.2,48.2
10/21/1996,50,42,1996,11/5/1996,15,48.2,48.2
10/22/1996,55,37,1996,11/5/1996,14,48.2,48.2
10/22/1996,41,40,1996,11/5/1996,14,48.2,48.2
10/22/1996,48,34,1996,11/5/1996,14,48.2,48.2
10/22/1996,48,43,1996,11/5/1996,14,48.2,48.2
10/23/1996,40,40,1996,11/5/1996,13,48.2,48.2
10/23/1996,51,41,1996,11/5/1996,13,48.2,48.2
10/23/1996,49,42,1996,11/5/1996,13,48.2,48.2
10/23/1996,46,38,1996,11/5/1996,13,48.2,48.2
10/24/1996,49,41,1996,11/5/1996,12,48.2,48.2
10/24/1996,40,39,1996,11/5/1996,12,48.2,48.2
10/24/1996,48,43,1996,11/5/1996,12,48.2,48.2
10/24/1996,45,41,1996,11/5/1996,12,48.2,48.2
10/25/1996,50,41,1996,11/5/1996,11,48.2,48.2
10/25/1996,51,41,1996,11/5/1996,11,48.2,48.2
10/25/1996,48,39,1996,11/5/1996,11,48.2,48.2
10/26/1996,50,42,1996,11/5/1996,10,48.2,48.2
10/26/1996,50,41,1996,11/5/1996,10,48.2,48.2
10/26/1996,47,40,1996,11/5/1996,10,48.2,48.2
10/27/1996,49,38,1996,11/5/1996,9,48.2,48.2
10/27/1996,45,41,1996,11/5/1996,9,48.2,48.2
10/27/1996,53,39,1996,11/5/1996,9,48.2,48.2
10/27/1996,49,43,1996,11/5/1996,9,48.2,48.2
10/27/1996,46,42,1996,11/5/1996,9,48.2,48.2
10/27/1996,40,39,1996,11/5/1996,9,48.2,48.2
10/28/1996,45,40,1996,11/5/1996,8,48.2,48.2
10/28/1996,50,42,1996,11/5/1996,8,48.2,48.2
10/28/1996,39,38,1996,11/5/1996,8,48.2,48.2
10/28/1996,54,39,1996,11/5/1996,8,48.2,48.2
10/29/1996,52,40,1996,11/5/1996,7,48.2,48.2
10/29/1996,40,39,1996,11/5/1996,7,48.2,48.2
10/29/1996,45,41,1996,11/5/1996,7,48.2,48.2
10/29/1996,48,44,1996,11/5/1996,7,48.2,48.2
10/29/1996,42,45,1996,11/5/1996,7,48.2,48.2
10/30/1996,47,41,1996,11/5/1996,6,48.2,48.2
10/30/1996,50,42,1996,11/5/1996,6,48.2,48.2
10/30/1996,50,43,1996,11/5/1996,6,48.2,48.2
10/30/1996,39,40,1996,11/5/1996,6,48.2,48.2
10/31/1996,48,41,1996,11/5/1996,5,48.2,48.2
10/31/1996,41,37,1996,11/5/1996,5,48.2,48.2
10/31/1996,51,43,1996,11/5/1996,5,48.2,48.2
10/31/1996,50,42,1996,11/5/1996,5,48.2,48.2
10/31/1996,38,41,1996,11/5/1996,5,48.2,48.2
10/31/1996,44,41,1996,11/5/1996,5,48.2,48.2
11/1/1996,46,43,1996,11/5/1996,4,48.2,48.2
11/1/1996,51,41,1996,11/5/1996,4,48.2,48.2
11/1/1996,49,45,1996,11/5/1996,4,48.2,48.2
11/2/1996,47,41,1996,11/5/1996,3,48.2,48.2
11/2/1996,49,39,1996,11/5/1996,3,48.2,48.2
11/2/1996,43,34,1996,11/5/1996,3,48.2,48.2
11/2/1996,47,41,1996,11/5/1996,3,48.2,48.2
11/2/1996,51,41,1996,11/5/1996,3,48.2,48.2
11/2/1996,51,43,1996,11/5/1996,3,48.2,48.2
11/3/1996,41,40,1996,11/5/1996,2,48.2,48.2
11/3/1996,52,40,1996,11/5/1996,2,48.2,48.2
11/3/1996,46,40,1996,11/5/1996,2,48.2,48.2
11/3/1996,43,43,1996,11/5/1996,2,48.2,48.2
11/3/1996,51,43,1996,11/5/1996,2,48.2,48.2
11/4/1996,45,42,1996,11/5/1996,1,48.2,48.2
11/4/1996,49,44,1996,11/5/1996,1,48.2,48.2
11/4/1996,45,41,1996,11/5/1996,1,48.2,48.2
11/4/1996,48,45,1996,11/5/1996,1,48.2,48.2
10/4/1998,44,40,1998,11/3/1998,30,47.3,48.4
10/4/1998,47,44,1998,11/3/1998,30,47.3,48.4
10/8/1998,37,45,1998,11/3/1998,26,47.3,48.4
10/8/1998,33,39,1998,11/3/1998,26,47.3,48.4
10/8/1998,46,38,1998,11/3/1998,26,47.3,48.4
10/8/1998,50,42,1998,11/3/1998,26,47.3,48.4
10/9/1998,41,38,1998,11/3/1998,25,47.3,48.4
10/9/1998,45,43,1998,11/3/1998,25,47.3,48.4
10/12/1998,47,46,1998,11/3/1998,22,47.3,48.4
10/13/1998,49,41,1998,11/3/1998,21,47.3,48.4
10/13/1998,45,37,1998,11/3/1998,21,47.3,48.4
10/15/1998,45,34,1998,11/3/1998,19,47.3,48.4
10/15/1998,49,37,1998,11/3/1998,19,47.3,48.4
10/18/1998,40,37,1998,11/3/1998,16,47.3,48.4
10/18/1998,48,38,1998,11/3/1998,16,47.3,48.4
10/18/1998,49,44,1998,11/3/1998,16,47.3,48.4
10/18/1998,44,43,1998,11/3/1998,16,47.3,48.4
10/25/1998,48,43,1998,11/3/1998,9,47.3,48.4
10/25/1998,45,41,1998,11/3/1998,9,47.3,48.4
10/25/1998,43,38,1998,11/3/1998,9,47.3,48.4
10/28/1998,51,42,1998,11/3/1998,6,47.3,48.4
10/28/1998,48,38,1998,11/3/1998,6,47.3,48.4
10/29/1998,35,39,1998,11/3/1998,5,47.3,48.4
10/29/1998,37,44,1998,11/3/1998,5,47.3,48.4
10/31/1998,46,41,1998,11/3/1998,3,47.3,48.4
10/31/1998,41,35,1998,11/3/1998,3,47.3,48.4
10/31/1998,47,40,1998,11/3/1998,3,47.3,48.4
10/31/1998,43,36,1998,11/3/1998,3,47.3,48.4
11/1/1998,44,36,1998,11/3/1998,2,47.3,48.4
11/1/1998,48,44,1998,11/3/1998,2,47.3,48.4
11/1/1998,51,43,1998,11/3/1998,2,47.3,48.4
11/1/1998,49,45,1998,11/3/1998,2,47.3,48.4
11/1/1998,44,40,1998,11/3/1998,2,47.3,48.4
11/1/1998,49,39,1998,11/3/1998,2,47.3,48.4
11/2/1998,47,38,1998,11/3/1998,1,47.3,48.4
11/2/1998,42,35,1998,11/3/1998,1,47.3,48.4
11/3/1998,42,35,1998,11/3/1998,0,47.3,48.4
11/3/1998,48,39,1998,11/3/1998,0,47.3,48.4
10/8/2000,47,43,2000,11/7/2000,30,47.1,47.6
10/8/2000,39,40,2000,11/7/2000,30,47.1,47.6
10/9/2000,39,36,2000,11/7/2000,29,47.1,47.6
10/9/2000,41,39,2000,11/7/2000,29,47.1,47.6
10/10/2000,48,42,2000,11/7/2000,28,47.1,47.6
10/10/2000,45,39,2000,11/7/2000,28,47.1,47.6
10/12/2000,42,43,2000,11/7/2000,26,47.1,47.6
10/13/2000,43,37,2000,11/7/2000,25,47.1,47.6
10/13/2000,48,42,2000,11/7/2000,25,47.1,47.6
10/13/2000,47,41,2000,11/7/2000,25,47.1,47.6
10/13/2000,44,36,2000,11/7/2000,25,47.1,47.6
10/15/2000,50,41,2000,11/7/2000,23,47.1,47.6
10/15/2000,41,39,2000,11/7/2000,23,47.1,47.6
10/16/2000,43,39,2000,11/7/2000,22,47.1,47.6
10/17/2000,43,39,2000,11/7/2000,21,47.1,47.6
10/18/2000,48,45,2000,11/7/2000,20,47.1,47.6
10/18/2000,43,40,2000,11/7/2000,20,47.1,47.6
10/19/2000,43,39,2000,11/7/2000,19,47.1,47.6
10/20/2000,48,34,2000,11/7/2000,18,47.1,47.6
10/20/2000,48,43,2000,11/7/2000,18,47.1,47.6
10/20/2000,51,39,2000,11/7/2000,18,47.1,47.6
10/20/2000,46,40,2000,11/7/2000,18,47.1,47.6
10/21/2000,38,38,2000,11/7/2000,17,47.1,47.6
10/22/2000,41,41,2000,11/7/2000,16,47.1,47.6
10/23/2000,42,40,2000,11/7/2000,15,47.1,47.6
10/24/2000,42,40,2000,11/7/2000,14,47.1,47.6
10/25/2000,45,40,2000,11/7/2000,13,47.1,47.6
10/25/2000,48,42,2000,11/7/2000,13,47.1,47.6
10/25/2000,42,39,2000,11/7/2000,13,47.1,47.6
10/26/2000,42,39,2000,11/7/2000,12,47.1,47.6
10/26/2000,47,42,2000,11/7/2000,12,47.1,47.6
10/26/2000,45,47,2000,11/7/2000,12,47.1,47.6
10/26/2000,45,40,2000,11/7/2000,12,47.1,47.6
10/27/2000,46,46,2000,11/7/2000,11,47.1,47.6
10/27/2000,48,41,2000,11/7/2000,11,47.1,47.6
10/27/2000,44,37,2000,11/7/2000,11,47.1,47.6
10/28/2000,46,46,2000,11/7/2000,10,47.1,47.6
10/29/2000,47,45,2000,11/7/2000,9,47.1,47.6
10/29/2000,42,38,2000,11/7/2000,9,47.1,47.6
10/30/2000,41,39,2000,11/7/2000,8,47.1,47.6
10/31/2000,49,43,2000,11/7/2000,7,47.1,47.6
10/31/2000,44,37,2000,11/7/2000,7,47.1,47.6
10/31/2000,47,41,2000,11/7/2000,7,47.1,47.6
11/1/2000,43,41,2000,11/7/2000,6,47.1,47.6
11/2/2000,47,37,2000,11/7/2000,5,47.1,47.6
11/2/2000,50,41,2000,11/7/2000,5,47.1,47.6
11/2/2000,41,42,2000,11/7/2000,5,47.1,47.6
11/4/2000,40,39,2000,11/7/2000,3,47.1,47.6
11/4/2000,47,43,2000,11/7/2000,3,47.1,47.6
11/5/2000,50,43,2000,11/7/2000,2,47.1,47.6
11/5/2000,48,42,2000,11/7/2000,2,47.1,47.6
11/5/2000,41,38,2000,11/7/2000,2,47.1,47.6
11/5/2000,43,35,2000,11/7/2000,2,47.1,47.6
11/5/2000,44,42,2000,11/7/2000,2,47.1,47.6
11/6/2000,50,42,2000,11/7/2000,1,47.1,47.6
11/6/2000,44,42,2000,11/7/2000,1,47.1,47.6
10/6/2002,47,48,2002,11/5/2002,30,45.2,50
10/6/2002,44,46,2002,11/5/2002,30,45.2,50
10/7/2002,41,43,2002,11/5/2002,29,45.2,50
10/9/2002,42,40,2002,11/5/2002,27,45.2,50
10/10/2002,44,39,2002,11/5/2002,26,45.2,50
10/11/2002,43,46,2002,11/5/2002,25,45.2,50
10/17/2002,41,45,2002,11/5/2002,19,45.2,50
10/21/2002,39,39,2002,11/5/2002,15,45.2,50
10/22/2002,46,49,2002,11/5/2002,14,45.2,50
10/23/2002,40,41,2002,11/5/2002,13,45.2,50
10/24/2002,43,47,2002,11/5/2002,12,45.2,50
10/24/2002,44,47,2002,11/5/2002,12,45.2,50
10/25/2002,46,43,2002,11/5/2002,11,45.2,50
10/27/2002,43,45,2002,11/5/2002,9,45.2,50
10/27/2002,49,47,2002,11/5/2002,9,45.2,50
10/29/2002,49,51,2002,11/5/2002,7,45.2,50
10/31/2002,47,40,2002,11/5/2002,5,45.2,50
11/2/2002,49,50,2002,11/5/2002,3,45.2,50
11/2/2002,44,46,2002,11/5/2002,3,45.2,50
11/2/2002,51,45,2002,11/5/2002,3,45.2,50
11/3/2002,46,44,2002,11/5/2002,2,45.2,50
10/5/2004,46,41,2004,11/2/2004,28,46.8,49.4
10/5/2004,49,45,2004,11/2/2004,28,46.8,49.4
10/6/2004,48,44,2004,11/2/2004,27,46.8,49.4
10/7/2004,43,42,2004,11/2/2004,26,46.8,49.4
10/9/2004,44,42,2004,11/2/2004,24,46.8,49.4
10/14/2004,44,40,2004,11/2/2004,19,46.8,49.4
10/15/2004,46,43,2004,11/2/2004,18,46.8,49.4
10/16/2004,44,42,2004,11/2/2004,17,46.8,49.4
10/17/2004,45,39,2004,11/2/2004,16,46.8,49.4
10/20/2004,47,46,2004,11/2/2004,13,46.8,49.4
10/21/2004,49,44,2004,11/2/2004,12,46.8,49.4
10/21/2004,46,43,2004,11/2/2004,12,46.8,49.4
10/22/2004,46,47,2004,11/2/2004,11,46.8,49.4
10/24/2004,47,50,2004,11/2/2004,9,46.8,49.4
10/25/2004,51,42,2004,11/2/2004,8,46.8,49.4
10/27/2004,44,43,2004,11/2/2004,6,46.8,49.4
10/28/2004,48,45,2004,11/2/2004,5,46.8,49.4
10/28/2004,45,44,2004,11/2/2004,5,46.8,49.4
10/29/2004,44,49,2004,11/2/2004,4,46.8,49.4
10/31/2004,47,46,2004,11/2/2004,2,46.8,49.4
10/31/2004,44,43,2004,11/2/2004,2,46.8,49.4
10/31/2004,48,42,2004,11/2/2004,2,46.8,49.4
10/31/2004,48,46,2004,11/2/2004,2,46.8,49.4
11/1/2004,44,47,2004,11/2/2004,1,46.8,49.4
10/8/2006,59,36,2006,11/7/2006,30,52.3,44.3
10/8/2006,58,37,2006,11/7/2006,30,52.3,44.3
10/8/2006,49,38,2006,11/7/2006,30,52.3,44.3
10/8/2006,49,35,2006,11/7/2006,30,52.3,44.3
10/8/2006,54,41,2006,11/7/2006,30,52.3,44.3
10/9/2006,47,35,2006,11/7/2006,29,52.3,44.3
10/11/2006,50,41,2006,11/7/2006,27,52.3,44.3
10/15/2006,56,40,2006,11/7/2006,23,52.3,44.3
10/16/2006,52,37,2006,11/7/2006,22,52.3,44.3
10/20/2006,55,37,2006,11/7/2006,18,52.3,44.3
10/22/2006,57,40,2006,11/7/2006,16,52.3,44.3
10/22/2006,54,41,2006,11/7/2006,16,52.3,44.3
10/22/2006,57,35,2006,11/7/2006,16,52.3,44.3
10/22/2006,50,39,2006,11/7/2006,16,52.3,44.3
10/23/2006,44,33,2006,11/7/2006,15,52.3,44.3
10/23/2006,52,34,2006,11/7/2006,15,52.3,44.3
10/25/2006,49,38,2006,11/7/2006,13,52.3,44.3
10/25/2006,56,37,2006,11/7/2006,13,52.3,44.3
10/26/2006,53,38,2006,11/7/2006,12,52.3,44.3
10/29/2006,53,42,2006,11/7/2006,9,52.3,44.3
10/29/2006,59,36,2006,11/7/2006,9,52.3,44.3
10/30/2006,52,37,2006,11/7/2006,8,52.3,44.3
10/31/2006,52,34,2006,11/7/2006,7,52.3,44.3
11/3/2006,54,38,2006,11/7/2006,4,52.3,44.3
11/3/2006,55,40,2006,11/7/2006,4,52.3,44.3
11/4/2006,51,45,2006,11/7/2006,3,52.3,44.3
11/4/2006,47,43,2006,11/7/2006,3,52.3,44.3
11/5/2006,49,36,2006,11/7/2006,2,52.3,44.3
11/5/2006,58,38,2006,11/7/2006,2,52.3,44.3
11/5/2006,51,44,2006,11/7/2006,2,52.3,44.3
10/5/2008,49,36,2008,11/4/2008,30,53.2,42.6
10/5/2008,54,41,2008,11/4/2008,30,53.2,42.6
10/9/2008,44,36,2008,11/4/2008,26,53.2,42.6
10/9/2008,49,38,2008,11/4/2008,26,53.2,42.6
10/12/2008,51,45,2008,11/4/2008,23,53.2,42.6
10/13/2008,45,39,2008,11/4/2008,22,53.2,42.6
10/13/2008,48,34,2008,11/4/2008,22,53.2,42.6
10/15/2008,49,40,2008,11/4/2008,20,53.2,42.6
10/20/2008,49,38,2008,11/4/2008,15,53.2,42.6
10/22/2008,48,36,2008,11/4/2008,13,53.2,42.6
10/22/2008,48,40,2008,11/4/2008,13,53.2,42.6
10/26/2008,47,40,2008,11/4/2008,9,53.2,42.6
10/29/2008,48,36,2008,11/4/2008,6,53.2,42.6
10/29/2008,45,41,2008,11/4/2008,6,53.2,42.6
11/2/2008,48,36,2008,11/4/2008,2,53.2,42.6
11/2/2008,53,41,2008,11/4/2008,2,53.2,42.6
11/2/2008,44,39,2008,11/4/2008,2,53.2,42.6
10/3/2010,43,49,2010,11/2/2010,30,44.9,51.7
10/3/2010,42,45,2010,11/2/2010,30,44.9,51.7
10/3/2010,40,53,2010,11/2/2010,30,44.9,51.7
10/3/2010,38,56,2010,11/2/2010,30,44.9,51.7
10/4/2010,43,49,2010,11/2/2010,29,44.9,51.7
10/5/2010,37,45,2010,11/2/2010,28,44.9,51.7
10/7/2010,45,52,2010,11/2/2010,26,44.9,51.7
10/10/2010,42,40,2010,11/2/2010,23,44.9,51.7
10/10/2010,39,47,2010,11/2/2010,23,44.9,51.7
10/10/2010,39,56,2010,11/2/2010,23,44.9,51.7
10/10/2010,41,53,2010,11/2/2010,23,44.9,51.7
10/11/2010,44,48,2010,11/2/2010,22,44.9,51.7
10/13/2010,39,48,2010,11/2/2010,20,44.9,51.7
10/17/2010,39,48,2010,11/2/2010,16,44.9,51.7
10/17/2010,39,56,2010,11/2/2010,16,44.9,51.7
10/17/2010,42,53,2010,11/2/2010,16,44.9,51.7
10/18/2010,40,50,2010,11/2/2010,15,44.9,51.7
10/18/2010,43,50,2010,11/2/2010,15,44.9,51.7
10/20/2010,42,47,2010,11/2/2010,13,44.9,51.7
10/21/2010,48,45,2010,11/2/2010,12,44.9,51.7
10/24/2010,39,51,2010,11/2/2010,9,44.9,51.7
10/24/2010,41,55,2010,11/2/2010,9,44.9,51.7
10/24/2010,43,52,2010,11/2/2010,9,44.9,51.7
10/25/2010,43,49,2010,11/2/2010,8,44.9,51.7
10/26/2010,44,47,2010,11/2/2010,7,44.9,51.7
10/26/2010,43,49,2010,11/2/2010,7,44.9,51.7
10/28/2010,37,50,2010,11/2/2010,5,44.9,51.7
10/28/2010,45,49,2010,11/2/2010,5,44.9,51.7
10/30/2010,42,48,2010,11/2/2010,3,44.9,51.7
10/30/2010,42,52,2010,11/2/2010,3,44.9,51.7
10/31/2010,40,55,2010,11/2/2010,2,44.9,51.7
10/31/2010,44,50,2010,11/2/2010,2,44.9,51.7
10/31/2010,39,51,2010,11/2/2010,2,44.9,51.7
10/7/2012,43,44,2012,11/6/2012,30,48.8,47.6
10/11/2012,44,46,2012,11/6/2012,26,48.8,47.6
10/14/2012,42,43,2012,11/6/2012,23,48.8,47.6
10/18/2012,46,46,2012,11/6/2012,19,48.8,47.6
10/21/2012,44,43,2012,11/6/2012,16,48.8,47.6
10/25/2012,43,43,2012,11/6/2012,12,48.8,47.6
10/25/2012,46,45,2012,11/6/2012,12,48.8,47.6
10/28/2012,46,48,2012,11/6/2012,9,48.8,47.6
10/28/2012,46,43,2012,11/6/2012,9,48.8,47.6
11/1/2012,46,46,2012,11/6/2012,5,48.8,47.6
11/4/2012,49,48,2012,11/6/2012,2,48.8,47.6
11/4/2012,48,49,2012,11/6/2012,2,48.8,47.6
11/4/2012,46,46,2012,11/6/2012,2,48.8,47.6
11/5/2012,47,46,2012,11/6/2012,1,48.8,47.6
10/5/2014,41,39,2014,11/4/2014,30,45.5,51.2
10/6/2014,43,49,2014,11/4/2014,29,45.5,51.2
10/12/2014,43,50,2014,11/4/2014,23,45.5,51.2
10/12/2014,47,48,2014,11/4/2014,23,45.5,51.2
10/12/2014,40,40,2014,11/4/2014,23,45.5,51.2
10/14/2014,42,45,2014,11/4/2014,21,45.5,51.2
10/19/2014,41,41,2014,11/4/2014,16,45.5,51.2
10/20/2014,32,40,2014,11/4/2014,15,45.5,51.2
10/20/2014,47,46,2014,11/4/2014,15,45.5,51.2
10/26/2014,47,46,2014,11/4/2014,9,45.5,51.2
10/26/2014,44,50,2014,11/4/2014,9,45.5,51.2
10/26/2014,43,42,2014,11/4/2014,9,45.5,51.2
10/26/2014,41,43,2014,11/4/2014,9,45.5,51.2
10/27/2014,45,44,2014,11/4/2014,8,45.5,51.2
10/27/2014,42,50,2014,11/4/2014,8,45.5,51.2
11/1/2014,48,48,2014,11/4/2014,3,45.5,51.2
11/2/2014,41,44,2014,11/4/2014,2,45.5,51.2
10/10/2016,44,39,2016,11/8/2016,29,48,49.1
10/10/2016,46,36,2016,11/8/2016,29,48,49.1
10/10/2016,42,38,2016,11/8/2016,29,48,49.1
10/12/2016,48,42,2016,11/8/2016,27,48,49.1
10/13/2016,47,44,2016,11/8/2016,26,48,49.1
10/13/2016,47,42,2016,11/8/2016,26,48,49.1
10/15/2016,45,38,2016,11/8/2016,24,48,49.1
10/17/2016,47,43,2016,11/8/2016,22,48,49.1
10/17/2016,43,39,2016,11/8/2016,22,48,49.1
10/17/2016,52,40,2016,11/8/2016,22,48,49.1
10/18/2016,43,38,2016,11/8/2016,21,48,49.1
10/20/2016,42,39,2016,11/8/2016,19,48,49.1
10/23/2016,50,47,2016,11/8/2016,16,48,49.1
10/24/2016,37,38,2016,11/8/2016,15,48,49.1
10/24/2016,44,39,2016,11/8/2016,15,48,49.1
10/25/2016,47,45,2016,11/8/2016,14,48,49.1
10/26/2016,43,39,2016,11/8/2016,13,48,49.1
10/30/2016,44,43,2016,11/8/2016,9,48,49.1
11/1/2016,45,40,2016,11/8/2016,7,48,49.1
11/2/2016,42,41,2016,11/8/2016,6,48,49.1
11/3/2016,48,47,2016,11/8/2016,5,48,49.1
11/5/2016,45,46,2016,11/8/2016,3,48,49.1
11/6/2016,45,48,2016,11/8/2016,2,48,49.1
11/6/2016,45,46,2016,11/8/2016,2,48,49.1
11/6/2016,48,43,2016,11/8/2016,2,48,49.1
11/7/2016,45,42,2016,11/8/2016,1,48,49.1
